iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
TUR,Asia,Turkey,25/09,311455,1665,1663.571,7858,73,68.714,3692.891,19.742,19.725,93.172,0.866,0.815,0.99,,,,,,,,,9834572,112885,116.608,1.338,108328,1.284,0.015,65.1,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,26/09,312966,1511,1659.714,7929,71,69.143,3710.807,17.916,19.679,94.013,0.842,0.82,0.92,,,,,,,,,9936581,102009,117.817,1.21,108984,1.292,0.015,65.7,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,27/09,314433,1467,1652.286,7997,68,70.143,3728.201,17.394,19.591,94.82,0.806,0.832,0.89,,,,,,,,,10037700,101119,119.016,1.199,109812,1.302,0.015,66.5,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,28/09,315845,1412,1605,8062,65,69.714,3744.943,16.742,19.03,95.59,0.771,0.827,0.88,,,,,,,,,10153223,115523,120.386,1.37,110181,1.306,0.015,68.6,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,29/09,317272,1427,1567.143,8130,68,70.143,3761.863,16.92,18.581,96.397,0.806,0.832,0.89,,,,,,,,,10268163,114940,121.749,1.363,110271,1.307,0.014,70.4,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,30/09,318663,1391,1513.429,8195,65,69.143,3778.356,16.493,17.945,97.167,0.771,0.82,0.89,,,,,,,,,10380261,112098,123.078,1.329,110270,1.307,0.014,72.9,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,01/10,320070,1407,1468.571,8262,67,68.143,3795.038,16.683,17.413,97.962,0.794,0.808,0.91,,,,,,,,,10493807,113546,124.424,1.346,110303,1.308,0.013,75.1,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,02/10,321512,1442,1436.714,8325,63,66.714,3812.136,17.098,17.035,98.709,0.747,0.791,0.95,,,,,,,,,10608664,114857,125.786,1.362,110585,1.311,0.013,77,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,03/10,323014,1502,1435.429,8384,59,65,3829.945,17.809,17.02,99.408,0.7,0.771,0.98,,,,,,,,,10711883,103219,127.01,1.224,110757,1.313,0.013,77.2,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,04/10,324443,1429,1430,8441,57,63.429,3846.889,16.944,16.955,100.084,0.676,0.752,0.97,,,,,,,,,10816285,104402,128.248,1.238,111226,1.319,0.013,77.8,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
